board,sample,prehash,tx,ty,pads,fine_pads,unescaped_pads,escape_vias,locked_len,env_overlap,nets_crossing,rule_area,opens,hard,router_vias,router_len
pcb-p-pack-preroute.kicad_pcb,pcb-p-pack-4,1147dd2a75c9,2,4,0,0,0,0,0,0,0,1,0,0,0,27.03
pcb-p-pack-preroute.kicad_pcb,pcb-p-pack-4,1147dd2a75c9,3,0,9,0,0,1,25.97,0,5,1,0,0,1,20.37
pcb-p-pack-preroute.kicad_pcb,pcb-p-pack-4,1147dd2a75c9,3,1,4,0,0,2,2.25,0,26,1,0,0,5,143.15
pcb-p-pack-preroute.kicad_pcb,pcb-p-pack-4,1147dd2a75c9,3,2,8,0,0,1,1.12,0,28,1,0,0,8,180.58
pcb-p-pack-preroute.kicad_pcb,pcb-p-pack-4,1147dd2a75c9,3,3,0,0,0,0,0,0,9,1,0,0,1,54.52
pcb-p-pack-preroute.kicad_pcb,pcb-p-pack-4,1147dd2a75c9,4,0,9,0,0,2,38.18,0,6,1,0,0,1,12.45
pcb-p-pack-preroute.kicad_pcb,pcb-p-pack-4,1147dd2a75c9,4,1,11,6,0,6,14.72,0,21,1,0,0,6,122.47
pcb-p-pack-preroute.kicad_pcb,pcb-p-pack-4,1147dd2a75c9,4,2,14,0,0,2,2.25,0,23,1,1,0,5,87.3
pcb-p-pack-preroute.kicad_pcb,pcb-p-pack-4,1147dd2a75c9,4,3,4,0,0,0,0,0,9,1,0,0,2,42.11
pcb-p-pack-preroute.kicad_pcb,pcb-p-pack-4,1147dd2a75c9,4,4,0,0,0,0,0,0,0,1,0,0,1,4.09
pcb-p-pack-preroute.kicad_pcb,pcb-p-pack-4,1147dd2a75c9,5,0,0,0,0,2,0,0,3,1,0,0,0,1.75
pcb-p-pack-preroute.kicad_pcb,pcb-p-pack-4,1147dd2a75c9,5,1,3,0,0,2,1.12,0,11,1,0,0,2,67.68
pcb-p-pack-preroute.kicad_pcb,pcb-p-pack-4,1147dd2a75c9,5,2,6,0,0,1,2.25,0,10,1,0,0,1,71.2
pcb-p-pack-preroute.kicad_pcb,pcb-p-pack-4,1147dd2a75c9,5,3,1,0,0,0,0,0,5,1,0,0,0,14.49
pcb-p-pack-preroute.kicad_pcb,pcb-p-pack-4,1147dd2a75c9,6,0,2,0,0,0,0,0,1,2,0,0,0,0.84
